"","name","prob.m","prob.w"
"676","Jeffry",0.99,0.01
"677","Joyce",0.03,0.97
"678","Kamil",0.98,0.02
"679","Lily",0.03,0.97
"680","Lindsay",0.0600000000000001,0.94
"681","Marius",0.99,0.01
"682","Masayuki",0.99,0.01
"683","Micah",0.86,0.14
"684","Sabrina",0.02,0.98
"685","Solomon",0.98,0.02
"686","Urs",0.97,0.03
"687","Yutaka",0.99,0.01
"688","Alessandra",0.05,0.95
"689","Bert",0.98,0.02
"690","Chad",0.99,0.01
"691","Cindy",0.02,0.98
"692","Cyril",0.98,0.02
"693","Deanna",0.02,0.98
"694","Fang",0.32,0.68
"695","Ferdinando",0.99,0.01
"696","Freda",0.08,0.92
"697","Gavin",0.99,0.01
"698","Hidehiko",1,0
"699","Holly",0.04,0.96
"700","Jesse",0.93,0.07
"701","Jia",0.35,0.65
"702","Kerstin",0.02,0.98
"703","Kristine",0.02,0.98
"704","Lesley",0.13,0.87
"705","Lu",0.32,0.68
"706","Maiken",0.05,0.95
"707","Manfred",0.99,0.01
"708","Marion",0.05,0.95
"709","Maxim",0.98,0.02
"710","Melitta",0.05,0.95
"711","Monique",0.02,0.98
"712","Mriganka",0.93,0.07
"713","Nikolai",0.99,0.01
"714","Ravi",0.99,0.01
"715","Rick",0.99,0.01
"716","Samantha",0.02,0.98
"717","Seong-Gi",0.52,0.48
"718","Shannon",0.12,0.88
"719","Susana",0.02,0.98
"720","Yoshihiro",1,0
"721","Alfred",0.98,0.02
"722","Ariel",0.74,0.26
"723","Christiane",0.02,0.98
"724","Cornelius",0.99,0.01
"725","Daniele",0.87,0.13
"726","Edgar",0.99,0.01
"727","Eileen",0.01,0.99
"728","Herbert",0.98,0.02
"729","Karim",0.98,0.02
"730","Keiji",0.99,0.01
"731","Lutz",0.98,0.02
"732","Maarten",0.99,0.01
"733","Marcelo",0.99,0.01
"734","Martina",0.01,0.99
"735","Mike",0.99,0.01
"736","Mohamed",0.98,0.02
"737","Qian",0.35,0.65
"738","Ray",0.94,0.0600000000000001
"739","Simona",0.02,0.98
"740","Stefania",0.02,0.98
"741","Thorsten",0.99,0.01
"742","Tor",0.93,0.07
"743","Anton",0.99,0.01
"744","Birgit",0.01,0.99
"745","Bjoern",1,0
"746","Brent",1,0
"747","Erica",0.02,0.98
"748","Erich",0.98,0.02
"749","Gord",0.99,0.01
"750","Harry",0.98,0.02
"751","Ilan",0.97,0.03
"752","Indira",0.03,0.97
"753","Jozsef",0.99,0.01
"754","Kathrin",0.02,0.98
"755","Koichi",0.99,0.01
"756","Krishna",0.9,0.1
"757","Lloyd",0.99,0.01
"758","Loren",0.55,0.45
"759","Neal",0.99,0.01
"760","Norihiro",1,0
"761","Pascale",0.03,0.97
"762","Pasko",0.97,0.03
"763","Pierre-Marie",1,0
"764","Ruediger",1,0
"765","Thierry",0.98,0.02
"766","Valentina",0.02,0.98
"767","Alfons",0.96,0.04
"768","Alicia",0.02,0.98
"769","Anirvan",0.98,0.02
"770","Anqi",0.19,0.81
"771","Attila",0.99,0.01
"772","Audrey",0.03,0.97
"773","Benedikt",0.99,0.01
"774","Bradford",0.97,0.03
"775","Brigitte",0.02,0.98
"776","Charan",0.97,0.03
"777","Claus",0.96,0.04
"778","Costantino",0.99,0.01
"779","Daeyeol",1,0
"780","Damien",0.99,0.01
"781","Dwight",0.99,0.01
"782","Elaine",0.02,0.98
"783","Erika",0.02,0.98
"784","Gen",0.58,0.42
"785","Jaideep",0.99,0.01
"786","Jianhua",0.84,0.16
"787","Karla",0.02,0.98
"788","Klaas",0.96,0.04
"789","Konrad",1,0
"790","Laurie",0.05,0.95
"791","Masato",0.99,0.01
"792","Moritz",0.99,0.01
"793","Ning",0.26,0.74
"794","Raphael",0.99,0.01
"795","Tara",0.0600000000000001,0.94
"796","Ursula",0.02,0.98
"797","Vitaly",0.99,0.01
"798","Abraham",0.99,0.01
"799","Baljit",0.82,0.18
"800","Benoit",0.98,0.02
"801","Clay",-1,-1
"802","Clayton",0.99,0.01
"803","Daisuke",0.99,0.01
"804","Dale",0.93,0.07
"805","Darwin",0.99,0.01
"806","Heike",0.02,0.98
